fecha;Linea;Cantidad
01/04/2024;MARROQUINERIA;3132
01/05/2024;PANTALON;19897
01/05/2024;CAMISETA;36304
01/05/2024;BLUSA;6367
01/05/2024;CORTOS;7240
01/05/2024;SOBRETODO;5042
01/05/2024;CALZADO;2948
01/05/2024;DEPORTIVO;976
01/05/2024;PANTALONES DE MODA;4044
01/05/2024;ACCESORIOS;8753
01/05/2024;PRODUCTOS DE MODA;2242
01/05/2024;ROPA INTERIOR;4724
01/05/2024;MARROQUINERIA;3298
01/06/2024;PANTALON;30541
01/06/2024;CAMISETA;54770
01/06/2024;BLUSA;10452
01/06/2024;CORTOS;13714
01/06/2024;SOBRETODO;6576
01/06/2024;CALZADO;3983
01/06/2024;DEPORTIVO;1366
01/06/2024;PANTALONES DE MODA;7063
01/06/2024;ACCESORIOS;8939
01/06/2024;PRODUCTOS DE MODA;3363
01/06/2024;ROPA INTERIOR;5809
01/06/2024;MARROQUINERIA;4127
01/07/2024;PANTALON;27827
01/07/2024;CAMISETA;50014
01/07/2024;BLUSA;8421
01/07/2024;CORTOS;11949
01/07/2024;SOBRETODO;6155
01/07/2024;CALZADO;3581
01/07/2024;DEPORTIVO;2193
01/07/2024;PANTALONES DE MODA;5143
01/07/2024;ACCESORIOS;7346
01/07/2024;PRODUCTOS DE MODA;3897
01/07/2024;ROPA INTERIOR;5072
01/07/2024;MARROQUINERIA;3842
01/08/2024;PANTALON;23152
01/08/2024;CAMISETA;47102
01/08/2024;BLUSA;5938
01/08/2024;CORTOS;10797
01/08/2024;SOBRETODO;4606
01/08/2024;CALZADO;3504
01/08/2024;DEPORTIVO;1941
01/08/2024;PANTALONES DE MODA;4149
01/08/2024;ACCESORIOS;8180
01/08/2024;PRODUCTOS DE MODA;3975
01/08/2024;ROPA INTERIOR;5274
01/08/2024;MARROQUINERIA;3473
01/09/2024;PANTALON;24655
01/09/2024;CAMISETA;49031
01/09/2024;BLUSA;5116
01/09/2024;CORTOS;10915
01/09/2024;SOBRETODO;3761
01/09/2024;CALZADO;3409
01/09/2024;DEPORTIVO;1643
01/09/2024;PANTALONES DE MODA;4103
01/09/2024;ACCESORIOS;8394
01/09/2024;PRODUCTOS DE MODA;3315
01/09/2024;ROPA INTERIOR;5758
01/09/2024;MARROQUINERIA;3081
01/10/2024;PANTALON;27116
01/10/2024;CAMISETA;53247
01/10/2024;BLUSA;7410
01/10/2024;CORTOS;12863
01/10/2024;SOBRETODO;5313
01/10/2024;CALZADO;3623
01/10/2024;DEPORTIVO;1383
01/10/2024;PANTALONES DE MODA;6742
01/10/2024;ACCESORIOS;10335
01/10/2024;PRODUCTOS DE MODA;3478
01/10/2024;ROPA INTERIOR;6761
01/10/2024;MARROQUINERIA;3621
01/11/2024;PANTALON;61977
01/11/2024;CAMISETA;102132
01/11/2024;BLUSA;15195
01/11/2024;CORTOS;29068
01/11/2024;SOBRETODO;11966
01/11/2024;CALZADO;7344
01/11/2024;DEPORTIVO;1846
01/11/2024;PANTALONES DE MODA;13235
01/11/2024;ACCESORIOS;15128
01/11/2024;PRODUCTOS DE MODA;8907
01/11/2024;ROPA INTERIOR;10127
01/11/2024;MARROQUINERIA;7334
01/12/2024;PANTALON;117682
01/12/2024;CAMISETA;202215
01/12/2024;BLUSA;26248
01/12/2024;CORTOS;55462
01/12/2024;SOBRETODO;17610
01/12/2024;CALZADO;13275
01/12/2024;DEPORTIVO;2830
01/12/2024;PANTALONES DE MODA;22187
